code,region,tipo_de_indicador,periodo,total
09,Cataluña,Volumen de agua disponible para su potabilización,2014,709.444
09,Cataluña,Volumen de agua disponible para su potabilización,2013,737.442
09,Cataluña,Volumen de agua disponible para su potabilización,2012,683.885
09,Cataluña,Volumen de agua disponible para su potabilización,2011,676.860
09,Cataluña,Volumen de agua disponible para su potabilización,2010,696.780
09,Cataluña,Volumen de agua disponible para su potabilización,2009,687.763
09,Cataluña,Volumen de agua disponible para su potabilización,2008,730.184
09,Cataluña,Volumen de agua disponible para su potabilización,2007,812.766
09,Cataluña,Volumen de agua disponible para su potabilización,2006,843.437
09,Cataluña,Volumen de agua disponible para su potabilización,2005,764.718
09,Cataluña,Volumen de agua disponible para su potabilización,2004,795.991
09,Cataluña,Volumen de agua disponible para su potabilización,2003,853.834
09,Cataluña,Volumen de agua disponible para su potabilización,2002,937.513
09,Cataluña,Volumen de agua disponible para su potabilización,2001,922.308
09,Cataluña,Volumen de agua disponible para su potabilización,2000,904.455
10,Comunitat Valenciana,Volumen de agua disponible no potabilizada,2022,361.782
10,Comunitat Valenciana,Volumen de agua disponible no potabilizada,2020,416.593
10,Comunitat Valenciana,Volumen de agua disponible no potabilizada,2018,466.226
10,Comunitat Valenciana,Volumen de agua disponible no potabilizada,2016,381.035
10,Comunitat Valenciana,Volumen de agua disponible no potabilizada,2014,330.236
10,Comunitat Valenciana,Volumen de agua disponible no potabilizada,2013,401.932
10,Comunitat Valenciana,Volumen de agua disponible no potabilizada,2012,339.792
10,Comunitat Valenciana,Volumen de agua disponible no potabilizada,2011,331.421
10,Comunitat Valenciana,Volumen de agua disponible no potabilizada,2010,439.540
10,Comunitat Valenciana,Volumen de agua disponible no potabilizada,2009,469.207
10,Comunitat Valenciana,Volumen de agua disponible no potabilizada,2008,592.466
10,Comunitat Valenciana,Volumen de agua disponible no potabilizada,2007,535.344
10,Comunitat Valenciana,Volumen de agua disponible no potabilizada,2006,469.024
10,Comunitat Valenciana,Volumen de agua disponible no potabilizada,2005,409.061
10,Comunitat Valenciana,Volumen de agua disponible no potabilizada,2004,459.403
10,Comunitat Valenciana,Volumen de agua disponible no potabilizada,2003,511.411
10,Comunitat Valenciana,Volumen de agua disponible no potabilizada,2002,477.648
10,Comunitat Valenciana,Volumen de agua disponible no potabilizada,2001,478.318
10,Comunitat Valenciana,Volumen de agua disponible no potabilizada,2000,467.294
10,Comunitat Valenciana,Volumen de agua disponible para su potabilización,2022,424.329
10,Comunitat Valenciana,Volumen de agua disponible para su potabilización,2020,531.831
10,Comunitat Valenciana,Volumen de agua disponible para su potabilización,2018,583.377
10,Comunitat Valenciana,Volumen de agua disponible para su potabilización,2016,521.855
10,Comunitat Valenciana,Volumen de agua disponible para su potabilización,2014,503.873
10,Comunitat Valenciana,Volumen de agua disponible para su potabilización,2013,511.397
10,Comunitat Valenciana,Volumen de agua disponible para su potabilización,2012,518.125
10,Comunitat Valenciana,Volumen de agua disponible para su potabilización,2011,506.669
10,Comunitat Valenciana,Volumen de agua disponible para su potabilización,2010,511.572
10,Comunitat Valenciana,Volumen de agua disponible para su potabilización,2009,537.785
10,Comunitat Valenciana,Volumen de agua disponible para su potabilización,2008,673.661
10,Comunitat Valenciana,Volumen de agua disponible para su potabilización,2007,699.482
