code,region,tipo_de_destino,periodo,total
07,Castilla y León,Vertedero,2002,..
07,Castilla y León,Vertedero,2001,..
07,Castilla y León,Vertedero,2000,..
08,Castilla - La Mancha,"Agricultura, silvicultura y jardinería",2022,"99,4"
08,Castilla - La Mancha,"Agricultura, silvicultura y jardinería",2020,"100,0"
08,Castilla - La Mancha,"Agricultura, silvicultura y jardinería",2018,"88,2"
08,Castilla - La Mancha,"Agricultura, silvicultura y jardinería",2016,"68,2"
08,Castilla - La Mancha,"Agricultura, silvicultura y jardinería",2014,"65,7"
08,Castilla - La Mancha,"Agricultura, silvicultura y jardinería",2013,"73,1"
08,Castilla - La Mancha,"Agricultura, silvicultura y jardinería",2012,"87,8"
08,Castilla - La Mancha,"Agricultura, silvicultura y jardinería",2011,..
08,Castilla - La Mancha,"Agricultura, silvicultura y jardinería",2010,..
08,Castilla - La Mancha,"Agricultura, silvicultura y jardinería",2009,..
08,Castilla - La Mancha,"Agricultura, silvicultura y jardinería",2008,..
08,Castilla - La Mancha,"Agricultura, silvicultura y jardinería",2007,..
08,Castilla - La Mancha,"Agricultura, silvicultura y jardinería",2006,..
08,Castilla - La Mancha,"Agricultura, silvicultura y jardinería",2005,..
08,Castilla - La Mancha,"Agricultura, silvicultura y jardinería",2004,..
08,Castilla - La Mancha,"Agricultura, silvicultura y jardinería",2003,..
08,Castilla - La Mancha,"Agricultura, silvicultura y jardinería",2002,..
08,Castilla - La Mancha,"Agricultura, silvicultura y jardinería",2001,..
08,Castilla - La Mancha,"Agricultura, silvicultura y jardinería",2000,..
08,Castilla - La Mancha,Incineración o aprovechamiento energético,2022,"0,0"
08,Castilla - La Mancha,Incineración o aprovechamiento energético,2020,"0,0"
08,Castilla - La Mancha,Incineración o aprovechamiento energético,2018,"0,0"
08,Castilla - La Mancha,Incineración o aprovechamiento energético,2016,"0,0"
08,Castilla - La Mancha,Incineración o aprovechamiento energético,2014,"0,0"
08,Castilla - La Mancha,Incineración o aprovechamiento energético,2013,"0,0"
