code,region,grupos_de_usuarios_e_importe,periodo,total
02,Aragón,- Hogares,2007,66.408
02,Aragón,- Hogares,2006,69.844
02,Aragón,- Hogares,2005,70.879
02,Aragón,- Hogares,2004,73.914
02,Aragón,- Hogares,2003,75.715
02,Aragón,- Hogares,2002,75.452
02,Aragón,- Hogares,2001,76.337
02,Aragón,- Hogares,2000,76.235
02,Aragón,- Consumos municipales,2022,13.892
02,Aragón,- Consumos municipales,2020,6.795
02,Aragón,- Consumos municipales,2018,11.300
02,Aragón,- Consumos municipales,2016,9.143
02,Aragón,- Consumos municipales,2014,8.897
02,Aragón,- Consumos municipales,2013,7.916
02,Aragón,- Consumos municipales,2012,10.971
02,Aragón,- Consumos municipales,2011,5.462
02,Aragón,- Consumos municipales,2010,6.140
02,Aragón,- Consumos municipales,2009,6.805
02,Aragón,- Consumos municipales,2008,10.061
02,Aragón,- Consumos municipales,2007,9.212
02,Aragón,- Consumos municipales,2006,13.867
02,Aragón,- Consumos municipales,2005,12.951
02,Aragón,- Consumos municipales,2004,13.856
02,Aragón,- Consumos municipales,2003,19.292
02,Aragón,- Consumos municipales,2002,4.787
02,Aragón,- Consumos municipales,2001,9.084
02,Aragón,- Consumos municipales,2000,8.222
02,Aragón,Importe facturado por el agua suministrada,2022,60.542
02,Aragón,Importe facturado por el agua suministrada,2020,69.278
02,Aragón,Importe facturado por el agua suministrada,2018,69.808
02,Aragón,Importe facturado por el agua suministrada,2016,76.067
02,Aragón,Importe facturado por el agua suministrada,2014,66.984
02,Aragón,Importe facturado por el agua suministrada,2013,66.876
02,Aragón,Importe facturado por el agua suministrada,2012,70.291
02,Aragón,Importe facturado por el agua suministrada,2011,57.088
02,Aragón,Importe facturado por el agua suministrada,2010,64.153
02,Aragón,Importe facturado por el agua suministrada,2009,65.310
02,Aragón,Importe facturado por el agua suministrada,2008,63.538
02,Aragón,Importe facturado por el agua suministrada,2007,56.920
02,Aragón,Importe facturado por el agua suministrada,2006,52.012
02,Aragón,Importe facturado por el agua suministrada,2005,46.601
02,Aragón,Importe facturado por el agua suministrada,2004,46.238
02,Aragón,Importe facturado por el agua suministrada,2003,52.415
02,Aragón,Importe facturado por el agua suministrada,2002,43.647
02,Aragón,Importe facturado por el agua suministrada,2001,40.817
02,Aragón,Importe facturado por el agua suministrada,2000,40.472
02,Aragón,Importe total de la inversión en los servicios de suministro,2022,2.789
02,Aragón,Importe total de la inversión en los servicios de suministro,2020,691
02,Aragón,Importe total de la inversión en los servicios de suministro,2018,660
02,Aragón,Importe total de la inversión en los servicios de suministro,2016,885
02,Aragón,Importe total de la inversión en los servicios de suministro,2014,4.960
02,Aragón,Importe total de la inversión en los servicios de suministro,2013,3.543
02,Aragón,Importe total de la inversión en los servicios de suministro,2012,4.708
02,Aragón,Importe total de la inversión en los servicios de suministro,2011,4.259
02,Aragón,Importe total de la inversión en los servicios de suministro,2010,12.902
02,Aragón,Importe total de la inversión en los servicios de suministro,2009,15.186
02,Aragón,Importe total de la inversión en los servicios de suministro,2008,18.014
02,Aragón,Importe total de la inversión en los servicios de suministro,2007,4.569
02,Aragón,Importe total de la inversión en los servicios de suministro,2006,3.312
02,Aragón,Importe total de la inversión en los servicios de suministro,2005,2.311
02,Aragón,Importe total de la inversión en los servicios de suministro,2004,4.081
02,Aragón,Importe total de la inversión en los servicios de suministro,2003,6.735
02,Aragón,Importe total de la inversión en los servicios de suministro,2002,5.897
02,Aragón,Importe total de la inversión en los servicios de suministro,2001,2.648
02,Aragón,Importe total de la inversión en los servicios de suministro,2000,5.770
02,Aragón,Longitud de la red de suministro (km),2022,5.518
02,Aragón,Longitud de la red de suministro (km),2020,5.451
02,Aragón,Longitud de la red de suministro (km),2018,5.143
02,Aragón,Longitud de la red de suministro (km),2016,5.360
02,Aragón,Longitud de la red de suministro (km),2014,5.239
02,Aragón,Longitud de la red de suministro (km),2013,4.971
02,Aragón,Longitud de la red de suministro (km),2012,..
02,Aragón,Longitud de la red de suministro (km),2011,..
02,Aragón,Longitud de la red de suministro (km),2010,..
02,Aragón,Longitud de la red de suministro (km),2009,..
02,Aragón,Longitud de la red de suministro (km),2008,..
02,Aragón,Longitud de la red de suministro (km),2007,..
02,Aragón,Longitud de la red de suministro (km),2006,..
02,Aragón,Longitud de la red de suministro (km),2005,..
02,Aragón,Longitud de la red de suministro (km),2004,..
02,Aragón,Longitud de la red de suministro (km),2003,..
02,Aragón,Longitud de la red de suministro (km),2002,..
02,Aragón,Longitud de la red de suministro (km),2001,..
02,Aragón,Longitud de la red de suministro (km),2000,..
03,"Asturias, Principado de",Volumen total de agua registrada y distribuida por tipo de usuario,2022,70.320
03,"Asturias, Principado de",Volumen total de agua registrada y distribuida por tipo de usuario,2020,70.895
03,"Asturias, Principado de",Volumen total de agua registrada y distribuida por tipo de usuario,2018,76.093
03,"Asturias, Principado de",Volumen total de agua registrada y distribuida por tipo de usuario,2016,83.733
03,"Asturias, Principado de",Volumen total de agua registrada y distribuida por tipo de usuario,2014,78.790
03,"Asturias, Principado de",Volumen total de agua registrada y distribuida por tipo de usuario,2013,74.885
03,"Asturias, Principado de",Volumen total de agua registrada y distribuida por tipo de usuario,2012,77.558
03,"Asturias, Principado de",Volumen total de agua registrada y distribuida por tipo de usuario,2011,82.647
03,"Asturias, Principado de",Volumen total de agua registrada y distribuida por tipo de usuario,2010,86.698
03,"Asturias, Principado de",Volumen total de agua registrada y distribuida por tipo de usuario,2009,86.457
03,"Asturias, Principado de",Volumen total de agua registrada y distribuida por tipo de usuario,2008,98.830
03,"Asturias, Principado de",Volumen total de agua registrada y distribuida por tipo de usuario,2007,103.151
03,"Asturias, Principado de",Volumen total de agua registrada y distribuida por tipo de usuario,2006,109.556
03,"Asturias, Principado de",Volumen total de agua registrada y distribuida por tipo de usuario,2005,106.063
03,"Asturias, Principado de",Volumen total de agua registrada y distribuida por tipo de usuario,2004,103.528
03,"Asturias, Principado de",Volumen total de agua registrada y distribuida por tipo de usuario,2003,95.943
03,"Asturias, Principado de",Volumen total de agua registrada y distribuida por tipo de usuario,2002,92.108
03,"Asturias, Principado de",Volumen total de agua registrada y distribuida por tipo de usuario,2001,93.788
03,"Asturias, Principado de",Volumen total de agua registrada y distribuida por tipo de usuario,2000,83.173
03,"Asturias, Principado de",- Sectores económicos,2022,15.051
03,"Asturias, Principado de",- Sectores económicos,2020,15.157
03,"Asturias, Principado de",- Sectores económicos,2018,18.334
03,"Asturias, Principado de",- Sectores económicos,2016,20.631
03,"Asturias, Principado de",- Sectores económicos,2014,19.466
03,"Asturias, Principado de",- Sectores económicos,2013,19.013
03,"Asturias, Principado de",- Sectores económicos,2012,19.708
03,"Asturias, Principado de",- Sectores económicos,2011,18.415
03,"Asturias, Principado de",- Sectores económicos,2010,17.879
03,"Asturias, Principado de",- Sectores económicos,2009,16.592
03,"Asturias, Principado de",- Sectores económicos,2008,24.423
03,"Asturias, Principado de",- Sectores económicos,2007,25.962
03,"Asturias, Principado de",- Sectores económicos,2006,30.032
03,"Asturias, Principado de",- Sectores económicos,2005,27.453
03,"Asturias, Principado de",- Sectores económicos,2004,28.287
03,"Asturias, Principado de",- Sectores económicos,2003,28.029
03,"Asturias, Principado de",- Sectores económicos,2002,25.648
03,"Asturias, Principado de",- Sectores económicos,2001,30.666
03,"Asturias, Principado de",- Sectores económicos,2000,20.908
03,"Asturias, Principado de",- Hogares,2022,52.311
03,"Asturias, Principado de",- Hogares,2020,50.363
03,"Asturias, Principado de",- Hogares,2018,52.402
03,"Asturias, Principado de",- Hogares,2016,56.898
03,"Asturias, Principado de",- Hogares,2014,51.503
03,"Asturias, Principado de",- Hogares,2013,47.317
03,"Asturias, Principado de",- Hogares,2012,49.974
03,"Asturias, Principado de",- Hogares,2011,58.760
